time,open,close,high,low,volume
2010-01-04,4.64,4.64,4.64,4.64,6008765.0
2010-01-05,5.1,5.1,5.1,4.98,88102494.0
2010-01-06,5.19,5.44,5.59,5.0,142676108.0
2010-01-07,5.44,5.53,5.76,5.24,100115849.0
2010-01-08,5.49,5.59,5.61,5.31,50803078.0
2010-01-11,5.54,5.72,5.96,5.44,67443560.0
2010-01-12,5.72,5.72,6.02,5.57,66057804.0
2010-01-13,5.53,5.54,5.69,5.51,53287657.0
2010-01-14,5.55,5.76,5.79,5.46,53673227.0
2010-01-15,5.72,5.66,5.79,5.54,41730790.0
2010-01-18,5.64,5.65,5.66,5.44,44787884.0
2010-01-19,5.65,5.92,5.96,5.56,70545709.0
2010-01-20,5.84,5.36,5.89,5.33,71088534.0
2010-01-21,5.36,5.28,5.42,5.16,39957231.0
2010-01-22,5.28,5.43,5.49,5.19,33315763.0
2010-01-25,5.35,5.2,5.41,5.2,15933129.0
2010-01-26,5.18,4.92,5.27,4.77,29338052.0
2010-01-27,4.92,4.89,5.0,4.83,21173897.0
2010-01-29,4.96,5.03,5.37,4.95,31822743.0
2010-02-01,4.98,4.69,4.98,4.66,32506634.0
2010-02-02,4.74,4.75,4.88,4.72,23679492.0
2010-02-03,4.76,4.75,4.83,4.44,28523435.0
2010-02-04,4.74,4.84,5.05,4.65,34630141.0
2010-02-05,4.68,4.95,5.08,4.63,40184388.0
2010-02-08,4.94,4.75,4.97,4.68,25553559.0
2010-02-09,4.72,4.64,4.77,4.59,13809665.0
2010-02-10,4.66,4.75,4.78,4.65,11998648.0
2010-02-11,4.72,4.68,4.78,4.66,9621684.0
2010-02-12,4.7,4.89,4.95,4.66,18093718.0
2010-02-22,4.88,4.97,5.09,4.83,22467045.0
2010-02-23,4.95,5.19,5.21,4.87,31222285.0
2010-02-24,5.16,5.28,5.29,5.06,26550512.0
2010-02-25,5.31,5.29,5.33,5.2,23869168.0
2010-02-26,5.27,5.2,5.27,5.18,16064160.0
2010-03-01,5.2,5.23,5.27,5.14,19221467.0
2010-03-02,5.23,5.38,5.45,5.23,31433451.0
2010-03-03,5.42,5.76,5.8,5.42,49819434.0
2010-03-04,5.76,5.31,5.76,5.25,49928872.0
2010-03-05,5.33,5.21,5.41,5.16,17295452.0
2010-03-08,5.2,5.28,5.38,5.2,15202282.0
2010-03-09,5.27,5.21,5.27,5.13,17212765.0
2010-03-10,5.17,5.06,5.27,5.01,16233925.0
2010-03-11,5.06,5.07,5.13,4.97,13388448.0
2010-03-12,5.08,5.02,5.23,5.01,17038036.0
2010-03-15,5.02,4.94,5.08,4.89,12764804.0
2010-03-16,4.91,4.99,5.01,4.91,7631632.0
2010-03-17,5.02,5.24,5.32,5.02,32707096.0
2010-03-18,5.27,5.32,5.47,5.27,33491774.0
2010-03-19,5.3,5.37,5.41,5.24,19087586.0
2010-03-22,5.33,5.45,5.51,5.29,22607980.0
2010-03-23,5.46,5.42,5.54,5.39,20900183.0
2010-03-24,5.38,5.38,5.43,5.3,17189396.0
2010-03-25,5.41,5.33,5.52,5.32,23510601.0
2010-03-26,5.29,5.38,5.4,5.24,13513809.0
2010-03-29,5.38,5.31,5.42,5.27,16345741.0
2010-03-30,5.31,5.35,5.4,5.28,17071349.0
2010-03-31,5.38,5.56,5.65,5.35,41272417.0
2010-04-01,5.56,5.56,5.66,5.46,47866389.0
2010-04-02,5.56,5.64,5.65,5.49,33082370.0
2010-04-06,5.71,5.68,5.8,5.56,35284507.0
2010-04-07,5.68,5.82,5.84,5.65,41347788.0
2010-04-08,5.82,5.65,5.87,5.63,32420594.0
2010-04-09,5.65,5.69,5.72,5.64,30690658.0
2010-04-12,5.71,5.93,5.98,5.66,47269054.0
2010-04-13,5.96,5.74,6.01,5.46,42061559.0
2010-04-14,5.65,5.7,5.87,5.6,22640194.0
2010-04-15,5.82,5.73,5.92,5.68,26191537.0
2010-04-16,5.66,5.86,5.91,5.57,29765328.0
2010-04-19,5.79,5.65,5.97,5.62,35740926.0
2010-04-20,5.69,5.88,5.9,5.5,28350928.0
2010-04-21,5.85,6.34,6.43,5.82,59550369.0
2010-04-22,6.31,6.31,6.59,6.2,59301106.0
2010-04-26,6.28,6.48,6.63,6.21,32729510.0
2010-04-27,6.49,6.15,6.49,5.99,35269070.0
2010-04-28,6.06,6.17,6.3,6.02,20440152.0
2010-04-29,6.32,6.24,6.69,6.23,52979783.0
2010-04-30,6.18,5.87,6.21,5.75,34482328.0
2010-05-04,5.62,5.94,6.02,5.54,18531647.0
2010-05-05,5.8,6.17,6.2,5.8,32384092.0
2010-05-06,6.15,6.07,6.28,6.05,31451032.0
2010-05-07,5.91,6.29,6.38,5.84,51931252.0
2010-05-10,6.31,5.84,6.37,5.69,38026649.0
2010-05-11,5.95,5.61,6.0,5.57,26899975.0
2010-05-12,5.49,5.05,5.57,5.05,31394624.0
2010-05-13,4.98,5.36,5.37,4.97,19283964.0
2010-05-14,5.31,5.39,5.54,5.24,18473036.0
2010-05-17,5.27,4.96,5.37,4.94,18248812.0
2010-05-18,4.99,5.16,5.26,4.77,26848926.0
2010-05-19,5.05,5.22,5.42,5.04,26838135.0
2010-05-20,5.24,5.36,5.51,5.24,29679190.0
2010-05-21,5.16,5.74,5.75,5.13,41871035.0
2010-05-24,5.79,5.88,5.96,5.72,36429815.0
2010-05-25,5.84,5.84,6.0,5.72,28030207.0
2010-05-26,5.82,5.76,5.98,5.72,21970716.0
2010-05-27,5.69,5.85,5.9,5.47,37498855.0
2010-05-28,5.91,5.76,5.97,5.73,21716834.0
2010-05-31,5.76,5.59,5.86,5.58,17488716.0
2010-06-01,5.52,5.61,5.63,5.16,28370543.0
2010-06-02,5.5,5.65,5.65,5.39,22649803.0
2010-06-03,5.68,5.83,6.07,5.68,51828888.0
2010-06-04,5.79,5.93,6.0,5.74,33851985.0
2010-06-07,5.76,6.12,6.19,5.73,43541261.0
2010-06-08,6.14,6.32,6.32,6.04,50763099.0
2010-06-09,6.28,6.34,6.42,6.22,39464447.0
2010-06-10,6.35,6.4,6.61,6.29,39124841.0
2010-06-11,6.39,6.16,6.51,6.15,28546064.0
2010-06-17,6.16,6.18,6.25,6.11,13785043.0
2010-06-18,6.13,5.76,6.15,5.7,20148308.0
2010-06-21,5.72,6.04,6.04,5.63,18492616.0
2010-06-22,6.08,6.41,6.46,6.03,30868522.0
2010-06-23,6.34,6.42,6.5,6.3,29521030.0
2010-06-24,6.41,6.32,6.46,6.27,13018530.0
2010-06-25,6.43,6.48,6.75,6.43,41294669.0
2010-06-28,6.37,6.29,6.44,6.18,21520474.0
2010-06-29,6.28,5.94,6.34,5.91,34491217.0
2010-06-30,5.81,6.01,6.1,5.8,22027321.0
2010-07-01,5.99,6.03,6.14,5.95,17055012.0
2010-07-02,6.03,5.84,6.03,5.51,26252761.0
2010-07-05,5.77,5.93,5.99,5.58,16583038.0
2010-07-06,5.85,6.0,6.1,5.74,20270694.0
2010-07-07,6.0,6.02,6.05,5.9,15055047.0
2010-07-08,6.05,5.81,6.05,5.79,14128762.0
2010-07-09,5.82,6.23,6.25,5.68,29896339.0
2010-07-12,6.22,6.3,6.37,6.13,24905789.0
2010-07-13,6.24,6.47,6.6,6.18,39361644.0
2010-07-14,6.45,6.43,6.54,6.3,28907386.0
2010-07-15,6.4,6.21,6.6,6.16,30969401.0
2010-07-16,6.18,6.57,6.59,6.02,31361699.0
